id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
585113,18,SavedShot,75.80000305175781,28.299999237060547,0.01701364479959011,Raphinha,a,8026,OpenPlay,2024,LeftFoot,26987,Valencia,Barcelona,1,2,2024-08-17 19:30:00,Lamine Yamal,Pass
585116,38,BlockedShot,72.69999694824219,37.900001525878906,0.04999781772494316,Raphinha,a,8026,DirectFreekick,2024,LeftFoot,26987,Valencia,Barcelona,1,2,2024-08-17 19:30:00,,Standard
586421,19,SavedShot,88.30000305175781,53.900001525878906,0.41309571266174316,Raphinha,h,8026,OpenPlay,2024,LeftFoot,26995,Barcelona,Athletic Club,2,1,2024-08-24 17:00:00,Pedri,Throughball
586423,21,MissedShots,88.69999694824219,33.70000076293945,0.02947060391306877,Raphinha,h,8026,OpenPlay,2024,LeftFoot,26995,Barcelona,Athletic Club,2,1,2024-08-24 17:00:00,Álex Balde,Cross
586425,27,BlockedShot,87.0,28.100000381469727,0.03794782608747482,Raphinha,h,8026,FromCorner,2024,LeftFoot,26995,Barcelona,Athletic Club,2,1,2024-08-24 17:00:00,Pedri,TakeOn
586429,48,BlockedShot,86.9000015258789,48.29999923706055,0.101958267390728,Raphinha,h,8026,OpenPlay,2024,LeftFoot,26995,Barcelona,Athletic Club,2,1,2024-08-24 17:00:00,Pedri,Pass
587257,46,BlockedShot,93.4000015258789,66.30000305175781,0.03413026034832001,Raphinha,a,8026,OpenPlay,2024,LeftFoot,27004,Rayo Vallecano,Barcelona,1,2,2024-08-27 19:30:00,Jules Koundé,Cross
587259,52,MissedShots,74.0999984741211,53.79999923706055,0.06558649241924286,Raphinha,a,8026,DirectFreekick,2024,LeftFoot,27004,Rayo Vallecano,Barcelona,1,2,2024-08-27 19:30:00,,Standard
587272,94,MissedShots,93.9000015258789,50.29999923706055,0.535180926322937,Raphinha,a,8026,OpenPlay,2024,Head,27004,Rayo Vallecano,Barcelona,1,2,2024-08-27 19:30:00,Dani Olmo,Cross
589309,3,BlockedShot,90.0,55.79999923706055,0.1175016239285469,Raphinha,h,8026,OpenPlay,2024,LeftFoot,27012,Barcelona,Real Valladolid,7,0,2024-08-31 15:00:00,,Rebound
589310,9,SavedShot,76.19999694824219,52.79999923706055,0.026790542528033257,Raphinha,h,8026,OpenPlay,2024,LeftFoot,27012,Barcelona,Real Valladolid,7,0,2024-08-31 15:00:00,Lamine Yamal,Pass
589314,19,Goal,91.19999694824219,43.099998474121094,0.30838659405708313,Raphinha,h,8026,OpenPlay,2024,LeftFoot,27012,Barcelona,Real Valladolid,7,0,2024-08-31 15:00:00,Pau Cubarsí,Chipped
589324,54,SavedShot,90.80000305175781,61.0999984741211,0.4759334921836853,Raphinha,h,8026,OpenPlay,2024,LeftFoot,27012,Barcelona,Real Valladolid,7,0,2024-08-31 15:00:00,Dani Olmo,Throughball
589327,63,Goal,96.80000305175781,53.79999923706055,0.6885185241699219,Raphinha,h,8026,OpenPlay,2024,LeftFoot,27012,Barcelona,Real Valladolid,7,0,2024-08-31 15:00:00,Robert Lewandowski,None
589328,71,Goal,90.9000015258789,53.400001525878906,0.6527318358421326,Raphinha,h,8026,OpenPlay,2024,LeftFoot,27012,Barcelona,Real Valladolid,7,0,2024-08-31 15:00:00,Lamine Yamal,Throughball
591475,41,MissedShots,48.20000076293945,59.099998474121094,0.0107010118663311,Raphinha,a,8026,OpenPlay,2024,LeftFoot,27028,Girona,Barcelona,1,4,2024-09-15 14:15:00,,BallRecovery
593208,4,SavedShot,89.4000015258789,59.0,0.0859944224357605,Raphinha,a,8026,OpenPlay,2024,Head,27037,Villarreal,Barcelona,1,5,2024-09-22 16:30:00,Pedri,Throughball
593213,16,BlockedShot,91.69999694824219,52.09999847412109,0.498858243227005,Raphinha,a,8026,OpenPlay,2024,RightFoot,27037,Villarreal,Barcelona,1,5,2024-09-22 16:30:00,,Rebound
593231,62,MissedShots,78.0,37.0,0.045987870544195175,Raphinha,a,8026,OpenPlay,2024,LeftFoot,27037,Villarreal,Barcelona,1,5,2024-09-22 16:30:00,Jules Koundé,Pass
593233,66,SavedShot,86.30000305175781,43.70000076293945,0.40345799922943115,Raphinha,a,8026,OpenPlay,2024,LeftFoot,27037,Villarreal,Barcelona,1,5,2024-09-22 16:30:00,Lamine Yamal,BallTouch
593235,74,Goal,84.19999694824219,65.4000015258789,0.06614509969949722,Raphinha,a,8026,OpenPlay,2024,LeftFoot,27037,Villarreal,Barcelona,1,5,2024-09-22 16:30:00,Pau Victor,Pass
593236,82,Goal,85.69999694824219,56.900001525878906,0.4411676228046417,Raphinha,a,8026,OpenPlay,2024,LeftFoot,27037,Villarreal,Barcelona,1,5,2024-09-22 16:30:00,Lamine Yamal,Chipped
593507,28,MissedShots,92.0999984741211,67.9000015258789,0.07424848526716232,Raphinha,h,8026,OpenPlay,2024,LeftFoot,27043,Barcelona,Getafe,1,0,2024-09-25 19:00:00,Álex Balde,Chipped
593511,54,BlockedShot,70.19999694824219,48.5,0.04411226511001587,Raphinha,h,8026,DirectFreekick,2024,LeftFoot,27043,Barcelona,Getafe,1,0,2024-09-25 19:00:00,,Standard
593515,70,SavedShot,75.5999984741211,31.799999237060543,0.05555007979273796,Raphinha,h,8026,DirectFreekick,2024,LeftFoot,27043,Barcelona,Getafe,1,0,2024-09-25 19:00:00,,Standard
593518,81,MissedShots,92.30000305175781,52.09999847412109,0.40439724922180176,Raphinha,h,8026,OpenPlay,2024,Head,27043,Barcelona,Getafe,1,0,2024-09-25 19:00:00,Jules Koundé,Cross
594500,96,MissedShots,84.19999694824219,25.799999237060543,0.023809198290109634,Raphinha,a,8026,OpenPlay,2024,LeftFoot,27056,Osasuna,Barcelona,4,2,2024-09-28 19:00:00,Lamine Yamal,Chipped
596204,23,SavedShot,85.5999984741211,54.79999923706055,0.32927045226097107,Raphinha,a,8026,OpenPlay,2024,RightFoot,27064,Alaves,Barcelona,0,3,2024-10-06 14:15:00,Iñigo Martínez,Chipped
596218,73,BlockedShot,76.5,46.0,0.036677926778793335,Raphinha,a,8026,OpenPlay,2024,LeftFoot,27064,Alaves,Barcelona,0,3,2024-10-06 14:15:00,,BallTouch
596225,81,BlockedShot,68.69999694824219,70.5,0.030101027339696884,Raphinha,a,8026,DirectFreekick,2024,LeftFoot,27064,Alaves,Barcelona,0,3,2024-10-06 14:15:00,,Standard
597925,38,MissedShots,80.69999694824219,63.70000076293946,0.02658221870660782,Raphinha,h,8026,FromCorner,2024,LeftFoot,27074,Barcelona,Sevilla,5,1,2024-10-20 19:00:00,,None
597931,49,MissedShots,85.0,39.0,0.09722393751144409,Raphinha,h,8026,OpenPlay,2024,LeftFoot,27074,Barcelona,Sevilla,5,1,2024-10-20 19:00:00,Lamine Yamal,Pass
598702,20,MissedShots,80.5999984741211,50.70000076293945,0.045674487948417664,Raphinha,a,8026,OpenPlay,2024,LeftFoot,27085,Real Madrid,Barcelona,0,4,2024-10-26 19:00:00,Lamine Yamal,Pass
598711,54,MissedShots,61.5,92.5999984741211,0.008269025944173336,Raphinha,a,8026,OpenPlay,2024,LeftFoot,27085,Real Madrid,Barcelona,0,4,2024-10-26 19:00:00,,BallRecovery
598723,83,Goal,88.0999984741211,45.099998474121094,0.43100622296333313,Raphinha,a,8026,OpenPlay,2024,RightFoot,27085,Real Madrid,Barcelona,0,4,2024-10-26 19:00:00,Iñigo Martínez,Throughball
600720,22,Goal,87.0999984741211,49.900001525878906,0.3085829019546509,Raphinha,h,8026,OpenPlay,2024,LeftFoot,27101,Barcelona,Espanyol,3,1,2024-11-03 15:15:00,Marc Casadó,Chipped
602359,43,BlockedShot,73.0999984741211,54.599998474121094,0.01929355040192604,Raphinha,a,8026,OpenPlay,2024,LeftFoot,27108,Real Sociedad,Barcelona,1,0,2024-11-10 20:00:00,Frenkie de Jong,Pass
603208,11,BlockedShot,84.69999694824219,38.900001525878906,0.06578757613897324,Raphinha,a,8026,OpenPlay,2024,LeftFoot,27117,Celta Vigo,Barcelona,2,2,2024-11-23 20:00:00,Robert Lewandowski,Pass
603209,14,Goal,88.4000015258789,43.099998474121094,0.3110570013523102,Raphinha,a,8026,OpenPlay,2024,LeftFoot,27117,Celta Vigo,Barcelona,2,2,2024-11-23 20:00:00,Jules Koundé,TakeOn
603213,21,SavedShot,81.19999694824219,50.0999984741211,0.07322020828723907,Raphinha,a,8026,OpenPlay,2024,LeftFoot,27117,Celta Vigo,Barcelona,2,2,2024-11-23 20:00:00,Robert Lewandowski,BallTouch
603219,58,MissedShots,78.80000305175781,38.599998474121094,0.039633121341466904,Raphinha,a,8026,OpenPlay,2024,LeftFoot,27117,Celta Vigo,Barcelona,2,2,2024-11-23 20:00:00,Pedri,Pass
